File,Wire,Cable,From,From pin,From signal,From terminal,To,To pin,To signal,To terminal,Colour,AWG,Route,Est mm,Splice,Done
ClusterLED,w_ig_tap,,OEM cluster connector C12,9,IG +12 (B-O) - one tap feeds every LED anode and the charge excite resistor,(generic),sp_led_12v,,,,Black/Orange,20,,,sp_led_12v,
ClusterLED,w_led_gnd_out,,sp_led_gnd,,,,"LED common return - OEM ground ID, left kick panel (M6, assumed)",,,,Black,20,,,sp_led_gnd,
ClusterLED,w_oil_a,,sp_led_12v,,,,d_oil,,,,Red,20,,,sp_led_12v,
ClusterLED,w_oil_k,,d_oil,,,,CSB3-c26 (L4),1,"ECUMaster CSB3 L4 low-side - oil pressure LED sink, CAN 0x643 *",,White,20,,,,
ClusterLED,w_pk_a,,sp_led_12v,,,,d_pk,,,,Red,20,,,sp_led_12v,
ClusterLED,w_pk_k,,d_pk,,,,OEM cluster connector C12,1,Park brake (R-G) - grounds via OEM P1 / B2,(generic),Red/Green,20,,,,
ClusterLED,w_tl_a,,OEM cluster connector C11,2,Turn L (G-B) - flasher LH stub,(generic),d_tl,,,,Green,20,,,,
ClusterLED,w_tl_k,,d_tl,,,,sp_led_gnd,,,,Black,20,,,sp_led_gnd,
ClusterLED,w_tr_a,,OEM cluster connector C11,11,Turn R (G-Y) - flasher RH stub,(generic),d_tr,,,,Green,20,,,,
ClusterLED,w_tr_k,,d_tr,,,,sp_led_gnd,,,,Black,20,,,sp_led_gnd,
EngineRoomC,w_acp_1,,"Glove-box body block (fuses + relays, ex-J/B2)",ACPS,"A/C pressure switch +12V, 5 A fuse *","(ring lug, sized to cable)",A/C Pressure Switch (EWD A5) - 2-wire dual switch,1,"+12V in, wire V-R. EWD p152 *",8100-0461,Violet,18,bn_bp_990__pmu > bn_bp_960__bp_990 > bn_pdb__bp_960 > bn_bp_900__pdb > bn_bp_870__bp_900 > bn_bp_840__bp_870 > bn_bp_810__bp_840 > bn_bp_780__bp_810 > bn_bp_750__bp_780 > bn_bp_720__bp_750 > bn_bp_690__bp_720 > bn_bp_660__bp_690 > bn_bp_450__bp_660 > bn_bp_420__bp_450 > bn_bp_390__bp_420 > bn_bp_360__bp_390 > bn_bp_330__bp_360 > bn_bp_300__bp_330 > bn_bp_270__bp_300 > bn_bp_240__bp_270 > bn_bp_210__bp_240 > bn_bp_185__bp_210 > bn_bp_180__bp_185 > bn_bp_150__bp_180 > bn_bp_150__ac_press,3160,,
